Nombre,Plataforma,Fecha_Salida,Score,Score_Jugadores,Desarrollador,Genero,Jugadores,Criticos,Usuarios,Anio,Mes,Numero_Dia,Nombre_Dia,Lista_Generos
WRC 3: FIA World Rally Championship,PC,2013-04-23,61,76.0,MilestoneS.r.l,"driving,racing,simulation,rally/offroad,rally/offroad,automobile",No info,10,29,2013,4,23,Mar,"['rally/offroad', 'driving', 'simulation', 'automobile', 'racing']"
Shaun White Skateboarding,PlayStation3,2010-10-24,61,65.0,UbisoftMontreal,"sports,alternative,individual,other,other,skate/skateboard",>4,26,8,2010,10,24,Dom,"['sports', 'other', 'individual', 'skate/skateboard', 'alternative']"
The Lord of the Rings: Conquest,DS,2009-01-13,61,70.0,ArtificialMindandMovement,"actionadventure,fantasy,general,fantasy",No info,9,7,2009,1,13,Mar,"['fantasy', 'general', 'actionadventure']"
Dokapon Kingdom,PlayStation2,2008-10-14,61,69.0,Sting,"role-playing,general",4,8,9,2008,10,14,Mar,"['general', 'role-playing']"
Loki,PC,2007-10-02,61,60.0,Cyanide,"role-playing,actionrpg,actionrpg",>4,21,43,2007,10,2,Mar,"['actionrpg', 'role-playing']"
Medieval Moves: Deadmund's Quest,PlayStation3,2011-11-15,61,65.0,ZindagiGames,"actionadventure,fantasy,general,fantasy",2,41,17,2011,11,15,Mar,"['fantasy', 'general', 'actionadventure']"
Ninety-Nine Nights,Xbox360,2006-08-15,61,66.0,"Phantagram,QEntertainment","action,beat-'em-up,beat-'em-up,2d",1,66,63,2006,8,15,Mar,"['2d', 'action', ""beat-'em-up""]"
Future Tactics: The Uprising,PlayStation2,2004-05-10,61,61.0,ZedTwoLimited,"strategy,turn-based,sci-fi",2,25,7,2004,5,10,Lun,"['sci-fi', 'turn-based', 'strategy']"
The Sinking City,Switch,2019-09-12,61,77.0,Frogwares,"actionadventure,survival",1,22,59,2019,9,12,Jue,"['survival', 'actionadventure']"
King Arthur,Xbox,2004-11-16,61,0.0,KromeStudios,"actionadventure,fantasy",2,15,0,2004,11,16,Mar,"['fantasy', 'actionadventure']"
Galactic Wrestling: Featuring Ultimate Muscle,PlayStation2,2004-06-30,61,80.0,AkiCorp.,"action,fighting,wrestling",4,12,5,2004,6,30,Mie,"['wrestling', 'fighting', 'action']"
Yu-Gi-Oh! Reshef of Destruction,GameBoyAdvance,2004-06-29,61,74.0,Konami,"miscellaneous,cardbattle",2,12,16,2004,6,29,Mar,"['cardbattle', 'miscellaneous']"
Beam Breakers,PC,2002-10-21,61,70.0,Similis,"driving,racing,arcade,futuristic,automobile",>4,11,5,2002,10,21,Lun,"['driving', 'futuristic', 'arcade', 'automobile', 'racing']"
Disney's Aladdin in Nasira's Revenge,PlayStation,2001-03-15,61,70.0,ArgonautGames,"action,general",1,11,17,2001,3,15,Jue,"['general', 'action']"
The Messenger (2001),PC,2001-02-14,61,0.0,IndexMultimedia,"adventure,general,general",1,14,0,2001,2,14,Mie,"['general', 'adventure']"
Skully,Switch,2020-08-04,61,74.0,FinishLineGames,"action,platformer,3d",1,13,5,2020,8,4,Mar,"['3d', 'action', 'platformer']"
Hunter's Legacy,XboxOne,2017-01-20,61,0.0,Lienzo,"action,actionadventure,platformer,open-world,2d",No info,7,0,2017,1,20,Vie,"['actionadventure', '2d', 'platformer', 'action', 'open-world']"
Into the Stars,PC,2016-03-04,61,31.0,FugitiveGames,"actionadventure,general",1,17,13,2016,3,4,Vie,"['general', 'actionadventure']"
Neopets: The Darkest Faerie,PlayStation2,2005-11-16,61,85.0,IdolMinds,"adventure,third-person,fantasy",1,18,33,2005,11,16,Mie,"['fantasy', 'adventure', 'third-person']"
Hunted: The Demon's Forge,PC,2011-05-30,61,66.0,InXileEntertainment,"actionadventure,fantasy,general,fantasy",2,21,139,2011,5,30,Lun,"['fantasy', 'general', 'actionadventure']"
Hellbound,PC,2020-08-04,61,67.0,SaibotStudios,"action,general",1,21,17,2020,8,4,Mar,"['general', 'action']"
Raging Justice,PlayStation4,2018-05-08,61,60.0,MakinGames,"action,beat-'em-up,2d",1,10,6,2018,5,8,Mar,"['2d', 'action', ""beat-'em-up""]"
Nikoli's Pencil Puzzle,3DS,2011-10-25,61,0.0,NATSUMEATARIInc.,"miscellaneous,puzzle,puzzle,puzzle,logic,general,logic",No info,7,0,2011,10,25,Mar,"['general', 'puzzle', 'miscellaneous', 'logic']"
Rayman: Hoodlum's Revenge,GameBoyAdvance,2005-03-15,61,60.0,BackboneEntertainment,"action,platformer,2d",1,12,11,2005,3,15,Mar,"['2d', 'action', 'platformer']"
Shadowrun Chronicles: Boston Lockdown,PC,2014-03-31,61,71.0,"CliffhangerProductions,CliffhangerProductions","general,strategy,adventure,turn-based,general,tactics",No info,21,53,2014,3,31,Lun,"['general', 'tactics', 'turn-based', 'adventure', 'strategy']"
